timestamp,user_id,department,location,resource_accessed,failed_logins,privilege_escalation,mfa_bypass,new_device,session_duration_min,is_anomalous
2024-01-01 00:10:00,user_039,Sales,Unknown,payroll,8,0,0,1,13,1
2024-01-01 01:01:00,user_032,HR,London,database,10,1,0,1,4,1
2024-01-01 09:11:00,user_043,Finance,Chicago,file_share,1,0,0,1,113,0
2024-01-01 09:40:00,user_003,Finance,Remote,database,1,0,0,1,40,0
2024-01-01 10:23:00,user_037,Executive,New York,hr_system,0,0,0,0,113,0
2024-01-01 11:02:00,user_032,IT,New York,hr_system,1,0,0,1,103,0
2024-01-01 14:29:00,user_041,Engineering,New York,email,0,0,0,1,30,0
2024-01-01 15:34:00,user_034,HR,Remote,database,0,0,0,1,64,0
2024-01-01 15:52:00,user_006,HR,New York,payroll,1,0,0,1,57,0
2024-01-01 16:10:00,user_014,Finance,Remote,email,0,0,0,1,19,0
2024-01-01 16:17:00,user_014,HR,New York,email,0,0,0,1,94,0
2024-01-01 17:33:00,user_034,Engineering,Remote,email,1,0,0,1,87,0
2024-01-01 18:31:00,user_038,HR,Chicago,vpn,0,0,0,0,75,0
2024-01-01 22:03:00,user_031,Engineering,London,admin_panel,3,0,0,1,21,1
2024-01-02 01:57:00,user_038,Executive,Unknown,admin_panel,3,1,0,0,11,1
2024-01-02 09:47:00,user_041,Executive,Chicago,hr_system,1,0,0,0,51,0
2024-01-02 11:12:00,user_015,IT,Chicago,database,1,0,0,0,78,0
2024-01-02 11:12:00,user_039,HR,Remote,vpn,1,0,0,0,62,0
2024-01-02 12:26:00,user_012,Sales,New York,hr_system,1,0,0,0,29,0
2024-01-02 13:16:00,user_042,Finance,Remote,database,1,0,0,0,10,0
2024-01-02 15:51:00,user_049,Engineering,Chicago,payroll,1,0,0,1,35,0
2024-01-02 16:06:00,user_017,HR,Remote,database,1,0,0,1,76,0
2024-01-02 16:18:00,user_034,Executive,Chicago,email,1,0,0,1,7,0
2024-01-02 18:59:00,user_015,Executive,New York,file_share,1,0,0,1,84,0
2024-01-02 19:30:00,user_038,Sales,New York,database,0,0,0,1,51,0
2024-01-02 22:31:00,user_005,Sales,Unknown,admin_panel,6,1,1,0,13,1
2024-01-03 11:07:00,user_040,Engineering,Remote,payroll,1,0,0,1,92,0
2024-01-03 11:34:00,user_004,Sales,Remote,hr_system,1,0,0,0,60,0
2024-01-03 11:36:00,user_031,Sales,Remote,vpn,1,0,0,1,115,0
2024-01-03 12:55:00,user_006,Sales,Remote,admin_panel,0,0,0,1,22,0
